Age,DHB,Popn
40 to 44,Whanganui,3440
40 to 44,MidCentral,10240
40 to 44,Hutt Valley,10620
40 to 44,Capital and Coast,21350
40 to 44,Wairarapa,2730
40 to 44,Nelson Marlborough,9310
40 to 44,West Coast,1590
40 to 44,Canterbury,36290
40 to 44,South Canterbury,3390
40 to 44,Southern,20710
45 to 49,New Zealand,323490
45 to 49,Northland,11620
45 to 49,Waitemata,42900
45 to 49,Auckland,32120
45 to 49,Counties Manukau,36910
45 to 49,Waikato,26780
45 to 49,Lakes,7290
45 to 49,Bay of Plenty,16470
45 to 49,Tairawhiti,3100
45 to 49,Taranaki,8040
45 to 49,Hawke's Bay,11470
45 to 49,Whanganui,4130
45 to 49,MidCentral,11000
45 to 49,Hutt Valley,10670
45 to 49,Capital and Coast,21820
45 to 49,Wairarapa,3110
45 to 49,Nelson Marlborough,10880
45 to 49,West Coast,1970
45 to 49,Canterbury,37810
45 to 49,South Canterbury,3800
45 to 49,Southern,21600
50 to 54,New Zealand,331200
50 to 54,Northland,13080
50 to 54,Waitemata,42810
50 to 54,Auckland,31200
50 to 54,Counties Manukau,37360
50 to 54,Waikato,27700
50 to 54,Lakes,7730
50 to 54,Bay of Plenty,16910
50 to 54,Tairawhiti,3210
50 to 54,Taranaki,8220
50 to 54,Hawke's Bay,11800
50 to 54,Whanganui,4420
50 to 54,MidCentral,11740
50 to 54,Hutt Valley,10750
50 to 54,Capital and Coast,21450
50 to 54,Wairarapa,3360
50 to 54,Nelson Marlborough,11660
50 to 54,West Coast,2370
50 to 54,Canterbury,39220
50 to 54,South Canterbury,4170
50 to 54,Southern,22050
55 to 59 ,New Zealand,324150
55 to 59 ,Northland,14120
55 to 59 ,Waitemata,39850
55 to 59 ,Auckland,29550
55 to 59 ,Counties Manukau,34990
55 to 59 ,Waikato,26900
55 to 59 ,Lakes,7570
55 to 59 ,Bay of Plenty,17310
55 to 59 ,Tairawhiti,3240
55 to 59 ,Taranaki,8330
55 to 59 ,Hawke's Bay,12030
55 to 59 ,Whanganui,4790
55 to 59 ,MidCentral,12140
55 to 59 ,Hutt Valley,10010
55 to 59 ,Capital and Coast,20260
55 to 59 ,Wairarapa,3610
55 to 59 ,Nelson Marlborough,12140
55 to 59 ,West Coast,2740
55 to 59 ,Canterbury,37200
55 to 59 ,South Canterbury,4480
55 to 59 ,Southern,22870
60-64,New Zealand,298090
60-64,Northland,14280
60-64,Waitemata,34790
60-64,Auckland,25100
60-64,Counties Manukau,29250
60-64,Waikato,25900
60-64,Lakes,7270
60-64,Bay of Plenty,16970
60-64,Tairawhiti,3200
60-64,Taranaki,8170
60-64,Hawke's Bay,11450
60-64,Whanganui,4780
60-64,MidCentral,11720
60-64,Hutt Valley,9450
60-64,Capital and Coast,16750
60-64,Wairarapa,3550
60-64,Nelson Marlborough,11830
60-64,West Coast,2740
60-64,Canterbury,34460
60-64,South Canterbury,4410
60-64,Southern,22000
65-69,New Zealand,253590
65-69,Northland,13200
65-69,Waitemata,28300
65-69,Auckland,20410
65-69,Counties Manukau,23500
65-69,Waikato,22820
65-69,Lakes,6180
65-69,Bay of Plenty,15690
65-69,Tairawhiti,2800
65-69,Taranaki,6910
65-69,Hawke's Bay,10160
65-69,Whanganui,4270
65-69,MidCentral,10170
65-69,Hutt Valley,7060
65-69,Capital and Coast,13630
65-69,Wairarapa,3450
65-69,Nelson Marlborough,10750
65-69,West Coast,2400
65-69,Canterbury,28940
65-69,South Canterbury,4030
65-69,Southern,18910
70-74,New Zealand,219540
70-74,Northland,11540
70-74,Waitemata,23720
70-74,Auckland,16100
70-74,Counties Manukau,18540
70-74,Waikato,20130
70-74,Lakes,5620
70-74,Bay of Plenty,14600
70-74,Tairawhiti,2270
70-74,Taranaki,6100
70-74,Hawke's Bay,9340
70-74,Whanganui,3850
70-74,MidCentral,9470
70-74,Hutt Valley,6010
70-74,Capital and Coast,11650
70-74,Wairarapa,3200
70-74,Nelson Marlborough,10140
70-74,West Coast,2020
70-74,Canterbury,25120
70-74,South Canterbury,3750
70-74,Southern,16360
75-79,New Zealand,151200
75-79,Northland,7640
75-79,Waitemata,16940
75-79,Auckland,10930
75-79,Counties Manukau,12580
75-79,Waikato,14020
75-79,Lakes,3680
75-79,Bay of Plenty,10660
